day,baseline_daily,probability,expected_daily,cumulative_expected
132,128948.1020064801,0.615828076135742,79409.86158000605,12921739.383030232
133,127958.80523859337,0.6186517301701808,79161.93625136498,13000901.319281597
134,126977.09840867296,0.6214838892444355,78914.2209639955,13079815.540245593
135,126002.92328631133,0.6243245152186312,78666.71399685669,13158482.25424245
136,125036.2220878303,0.6271735704056043,78419.41383685262,13236901.668079302
137,124076.93747288361,0.6300310175622352,78172.3191720467,13315073.987251349
138,123125.01254107803,0.6328968198810088,77925.42888505761,13392999.416136406
139,122180.39082847908,0.6357709409817949,77678.74204654561,13470678.158182953
140,121243.01630443335,0.638653344903842,77432.2579090574,13548110.41609201
141,120312.8333680965,0.6415439960979774,77185.9759008387,13625296.391992848
142,119389.78684524447,0.6444428594190077,76939.89561997517,13702236.287612824
143,118473.82198490575,0.6473499001183097,76694.01682856314,13778930.304441387
144,117564.88445620611,0.6502650838366111,76448.33944715637,13855378.643888542
145,116662.9203450717,0.6531883765969493,76202.8635492566,13931581.5074378
146,115767.87615105137,0.6561197447978078,75957.58935601205,14007539.096793812
147,114879.69878420979,0.6590591552064196,75712.51723108925,14083251.614024902
148,113998.3355618231,0.6620065749522366,75467.64767553826,14158719.26170044
149,113123.73420547321,0.6649619715205576,75222.981323039,14233942.24302348
150,112255.84283770621,0.6679253127463098,74978.51893497552,14308920.761958456
151,111394.60997916013,0.6708965668079808,74734.26139593257,14383655.023354389
152,110539.98454537243,0.6738757022216946,74490.20970908811,14458145.233063476
153,109691.91584386304,0.6768626878354285,74246.36499189476,14532391.59805537
154,108850.35357097536,0.6798574928233665,74002.72847170029,14606394.32652707
155,108015.24780908227,0.6828600866803843,73759.30148171312,14680153.628008783
156,107186.5490234755,0.685870439216663,73516.08545684953,14753669.713465633
157,106364.20805947483,0.6888885205524269,73273.08192982213,14826942.795395454
158,105548.17613954097,0.6919143011128024,73030.29252732145,14899973.087922776
159,104738.40486034751,0.6949477516227942,72787.71896625645,14972760.806889033
160,103934.84618993104,0.6979888431023757,72545.36305013332,15045306.169939166
161,103137.45246480778,0.7010375468616886,72303.22666549287,15117609.396604659
162,102346.17638719454,0.704093834496352,72061.3117784998,15189670.70838316
163,101560.97102216631,0.7071576778828741,71819.620431565,15261490.328814724
164,100781.78979490325,0.710229049174167,71578.1547401049,15333068.483554829
165,100008.58648787811,0.7133079207951583,71336.9168893311,15404405.40044416
166,99241.31523817778,0.7163942654384999,71095.90913120497,15475501.309575364
167,98479.9305347316,0.71948805606037,70855.13378139431,15546356.443356758
168,97724.38721564412,0.7225892658763646,70614.59321636987,15616971.036573129
169,96974.64046550915,0.7256978683574777,70374.28987055279,15687345.326443681
170,96230.64581272751,0.7288138372261683,70134.22623352625,15757479.552677209
171,95492.35912689567,0.7319371464525086,69894.40484735818,15827373.957524566
172,94759.73661619425,0.7350677702504156,69654.82830398256,15897028.78582855
173,94032.7348247692,0.7382056830739605,69415.49924263134,15966444.285071181
174,93311.31063015759,0.7413508596137545,69176.4203473534,16035620.705418535
175,92595.42124071717,0.744503274793411,68937.5943445893,16104558.299763124
176,91885.02419315279,0.7476629037660798,68699.0240008691,16173257.323763993
177,91180.0773499161,0.7508297219110511,68460.71212046564,16241718.035884459
178,90480.53889674693,0.7540037048304312,68222.66154320113,16309940.69742766
179,89786.36734015495,0.7571848283458837,67984.87514225568,16377925.572569916
180,89097.52150508016,0.7603730684954366,67747.35582215595,16445672.928392071
181,88413.96053225547,0.7635684015303534,67510.10651658206,16513183.034908654
182,87735.64387593418,0.7667708039120671,67273.13018649288,16580456.165095147
183,87062.53130147606,0.7699802523091737,67036.42981818586,16647492.594913332
184,86394.58288283646,0.7731967235944861,66800.00842132143,16714292.603334654
185,85731.75900037587,0.7764201948421453,66563.86902723167,16780856.472361885
186,85074.02033834904,0.7796506433247876,66328.0146870199,16847184.487048905
187,84421.32788269222,0.7828880465107668,66092.44846992585,16913276.93551883
188,83773.64291861653,0.7861323820614301,65857.17346157567,16979134.108980406
189,83130.92702839524,0.7893836278284463,65622.19276241647,17044756.301742822
190,82493.14208902419,0.7926417618511844,65387.50948608422,17110143.811228905
191,81860.25026997924,0.7959067623541431,65153.12675787905,17175296.937986784
192,81232.21403097361,0.799178607744427,64919.0477132708,17240215.985700056
193,80608.99611975253,0.8024572766092719,64685.275496463975,17304901.26119652
194,79990.55956982821,0.8057427477136154,64451.81325894302,17369353.074455462
