scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,157,4396,12246,157,471,81280.496921358,204031.91222454706,0.28488244575367283,0.7151175542463272,208.74214788076978,523.9886714174515,56349.21514132201,91920.21281263254,56669.215141322005,92240.21281263254,73273.08192982213,14826942.795395454
B,100,158,4424,12324,158,474,81739.67591984286,205917.0510829209,0.28415701162816026,0.7158429883718397,207.52069682894026,522.7822284442742,56556.735838150955,92442.99504107682,56876.73583815095,92762.99504107682,73030.29252732145,14899973.087922776
B,100,159,4452,12402,159,477,82198.25863329576,207807.66149102026,0.2834364850140303,0.7165635149859697,206.30695215984792,521.5702375027165,56763.0427903108,92964.56527857954,57083.04279031079,93284.56527857954,72787.71896625645,14972760.806889033
B,100,160,4480,12480,160,480,82656.24596037003,209703.70274624682,0.2827208252225942,0.7172791747774059,205.10084907606387,520.3527814252694,56968.143639386864,93484.91806000481,57288.14363938686,93804.91806000481,72545.36305013332,15045306.169939166
B,100,161,4508,12558,161,483,83113.63879202245,211605.13415975883,0.2820099919648505,0.7179900080351495,203.90232370968405,519.1299429452446,57172.04596309655,94004.04800295006,57492.04596309654,94324.04800295006,72303.22666549287,15117609.396604659
B,100,162,4536,12636,162,486,83570.43801195713,213511.9150594778,0.28130394534697317,0.7186960546530268,202.711313101703,517.9018046832949,57374.75727619825,94521.94980763335,57694.757276198245,94841.94980763335,72061.3117784998,15189670.70838316
B,100,163,4564,12714,163,489,84026.64449705512,215424.00479305838,0.28060264586585854,0.7193973541341414,201.52775518178808,516.6684491338618,57576.28503138004,95038.61825676722,57896.28503138003,95358.61825676722,71819.620431565,15261490.328814724
B,100,164,4592,12792,164,492,84482.25911778974,217341.36273082384,0.2799060544047269,0.7200939455952732,200.35158874873764,515.4299586523115,57776.636620128775,95554.04821541953,58096.63662012877,95874.04821541953,71578.1547401049,15333068.483554829
B,100,165,4620,12870,165,495,84937.28273862826,219263.94826866448,0.2792141322287812,0.7207858677712188,199.18275345131272,514.1864154419983,57975.81937358009,96068.23463086154,58295.81937358008,96388.23463086154,71336.9168893311,15404405.40044416
B,100,166,4648,12948,166,498,85391.7162184201,221191.72083090106,0.2785268409809198,0.7214731590190802,198.02118976981052,512.9379015422392,58173.8405633499,96581.17253240378,58493.84056334989,96901.17253240378,71095.90913120497,15475501.309575364
B,100,167,4676,13026,167,501,85845.5604107723,223124.63987311296,0.27784414267750235,0.7221558573224977,196.8668389979124,511.6844988160308,58370.70740234781,97092.85703121981,58690.707402347805,97412.85703121981,70855.13378139431,15546356.443356758
B,100,168,4704,13104,168,504,86298.81616441222,225062.66488493024,0.2771659997041708,0.7228340002958293,195.71964322518514,510.42628893851366,58566.427045573,97603.28332015833,58886.42704557299,97923.28332015833,70614.59321636987,15616971.036573129
B,100,169,4732,13182,169,507,86751.48432353814,227005.75539279103,0.2764923748117205,0.7235076251882795,194.57954531997547,509.1633533855524,58761.006590892976,98112.44667354388,59081.00659089297,98432.44667354388,70374.28987055279,15687345.326443681
B,100,170,4760,13260,170,510,87203.56572815802,228953.87096266306,0.27582323111202584,0.7241767688879742,193.44648891273016,507.8957734225324,58954.4530798057,98620.3424469664,59274.453079805695,98940.3424469664,70134.22623352625,15757479.552677209
